id,effectiveTime,active,moduleId,conceptId,languageCode,typeId,term,caseSignificanceId
178847015,20020131,1,900000000000207008,122549002,en,900000000000003001,Injury (disorder),900000000000020002
194075017,20020131,1,900000000000207008,125587004,en,900000000000003001,Superficial injury (disorder),900000000000020002
194131018,20020131,1,900000000000207008,125643001,en,900000000000003001,Open wound (disorder),900000000000020002
194153016,20020131,1,900000000000207008,125665001,en,900000000000003001,Crushing injury (disorder),900000000000020002
194154010,20020131,1,900000000000207008,125666000,en,900000000000003001,Burn (disorder),900000000000020002
194639015,20020131,1,900000000000207008,128045006,en,900000000000003001,Cellulitis (disorder),900000000000020002
197269012,20020131,1,900000000000207008,37373007,en,900000000000003001,Meckel's diverticulum (disorder),900000000000017005
199422011,20020131,1,900000000000207008,1896004,en,900000000000003001,Ectopic breast tissue (disorder),900000000000020002
205198019,20020131,1,900000000000207008,125667009,en,900000000000003001,Contusion (disorder),900000000000020002
205199010,20020131,1,900000000000207008,125670008,en,900000000000003001,Foreign body (disorder),900000000000020002
206800010,20020131,1,900000000000207008,128477000,en,900000000000003001,Abscess (disorder),900000000000020002
207510016,20020131,1,900000000000207008,128863005,en,900000000000003001,Lymphoid hyperplasia (disorder),900000000000020002
288512012,20020131,1,900000000000207008,187687003,en,900000000000013009,Asthma (disorder),900000000000020002
406637016,20020131,1,900000000000207008,271737000,en,900000000000013009,Anemia [dup] (disorder),900000000000020002
406639018,20020131,1,900000000000207008,271737000,en,900000000000013009,Anaemia (disorder),900000000000020002
444816010,20020131,1,900000000000207008,11852004,en,900000000000013009,Adenine phosphoribosyltransferase deficiency (disorder),900000000000020002
481539012,20020131,1,900000000000207008,23185001,en,900000000000013009,Schwachmann-Diamond syndrome (disorder),900000000000017005
483874011,20020131,1,900000000000207008,28431005,en,900000000000013009,Seborrhea capitis [dup] (disorder),900000000000017005
483875012,20020131,1,900000000000207008,28431005,en,900000000000013009,Seborrhoea capitis (disorder),900000000000020002
491660012,20020131,1,900000000000207008,367374009,en,900000000000013009,Cystinosis (disorder),900000000000020002
491888016,20020131,1,900000000000207008,367410007,en,900000000000013009,Lysinuric protein intolerance (disorder),900000000000020002
491898010,20020131,1,900000000000207008,367412004,en,900000000000013009,Fracture of metacarpal bone (disorder),900000000000020002
